ee  ee      ee        Ee
i   i       i         I
e   e       e         E
a   a       a         A
a   a       a         A
a   a       a         A
u   u       u         U
u   u       u         U
eu  eu      eu        Eu
u   u       u         U
oo  oo      oo        Oo
p   p       p         P
t   t       t         T
k   k       k         K
b   b       b         B
d   d       d         D
g   g       g         G
f   f       f         F
th  th      th        Th
sh  sh      sh        Sh
s   s       s         S
v   v       v         V
dh  dh      dh        Dh
zh  zh      zh        Zh
z   z       z         Z
m   m       m         M
l   l       l         L
n   n       n         N
ng  ng      ng        Ng
r   r       r         R
w   w       w         W
y   y       y         Y
h   h       h         H
